"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тест allure","Сложение двух чисел еще раз","0","0","1","0","0"
"","Тест allure","Сложение двух чисел","0","0","1","0","0"
"","Тест allure2","Сложение одинарное2","0","0","1","0","0"
"","Тест allure2","Сложение двух чисел2","1","0","0","0","0"
"","Тест allure2","Сломан","0","1","0","0","0"
"","Тест allure2","Сложение одинарное3","0","0","1","0","0"
"","Test allure English","Test multiply","0","0","1","0","0"
"","Test allure English","Two digits multiply","0","0","1","0","0"
"","Тест allure","Сложение одинарное","0","0","1","0","0"
"","Тест allure2","Пропущен","0","0","0","1","0"
